# ell TT TE EE BB
92 1.768041e+00 -1.284759e-02 4.717730e-04 1.968429e-06
93 1.750998e+00 -1.302436e-02 4.726347e-04 1.968966e-06
94 1.734430e+00 -1.319436e-02 4.733320e-04 1.969504e-06
95 1.718320e+00 -1.335752e-02 4.738646e-04 1.970048e-06
96 1.702650e+00 -1.351376e-02 4.742326e-04 1.970601e-06
97 1.687404e+00 -1.366301e-02 4.744355e-04 1.971166e-06
98 1.672563e+00 -1.380522e-02 4.744734e-04 1.971747e-06
99 1.658110e+00 -1.394029e-02 4.743461e-04 1.972347e-06
100 1.644028e+00 -1.406818e-02 4.740533e-04 1.972969e-06
101 1.630299e+00 -1.418880e-02 4.735948e-04 1.973617e-06
102 1.616906e+00 -1.430209e-02 4.729707e-04 1.974295e-06
103 1.603831e+00 -1.440797e-02 4.721805e-04 1.975005e-06
104 1.591058e+00 -1.450642e-02 4.712247e-04 1.975751e-06
105 1.578576e+00 -1.459749e-02 4.701055e-04 1.976532e-06
106 1.566375e+00 -1.468129e-02 4.688253e-04 1.977350e-06
107 1.554444e+00 -1.475791e-02 4.673869e-04 1.978205e-06
108 1.542775e+00 -1.482746e-02 4.657928e-04 1.979095e-06
109 1.531356e+00 -1.489002e-02 4.640457e-04 1.980022e-06
110 1.520177e+00 -1.494570e-02 4.621481e-04 1.980985e-06
111 1.509230e+00 -1.499459e-02 4.601028e-04 1.981984e-06
112 1.498503e+00 -1.503680e-02 4.579123e-04 1.983020e-06
113 1.487987e+00 -1.507241e-02 4.555792e-04 1.984092e-06
114 1.477671e+00 -1.510154e-02 4.531061e-04 1.985201e-06
115 1.467547e+00 -1.512427e-02 4.504958e-04 1.986346e-06
116 1.457603e+00 -1.514070e-02 4.477507e-04 1.987527e-06
117 1.447834e+00 -1.515091e-02 4.448742e-04 1.988746e-06
118 1.438232e+00 -1.515494e-02 4.418693e-04 1.990000e-06
119 1.428792e+00 -1.515289e-02 4.387393e-04 1.991292e-06
120 1.419507e+00 -1.514480e-02 4.354874e-04 1.992620e-06
121 1.410371e+00 -1.513074e-02 4.321167e-04 1.993985e-06
122 1.401377e+00 -1.511078e-02 4.286305e-04 1.995387e-06
123 1.392519e+00 -1.508499e-02 4.250318e-04 1.996826e-06
124 1.383790e+00 -1.505344e-02 4.213241e-04 1.998301e-06
125 1.375185e+00 -1.501618e-02 4.175103e-04 1.999814e-06
126 1.366696e+00 -1.497328e-02 4.135938e-04 2.001364e-06
127 1.358317e+00 -1.492481e-02 4.095777e-04 2.002951e-06
128 1.350042e+00 -1.487084e-02 4.054652e-04 2.004575e-06
129 1.341866e+00 -1.481144e-02 4.012597e-04 2.006237e-06
130 1.333783e+00 -1.474668e-02 3.969648e-04 2.007936e-06
131 1.325790e+00 -1.467667e-02 3.925847e-04 2.009673e-06
132 1.317884e+00 -1.460148e-02 3.881232e-04 2.011448e-06
133 1.310061e+00 -1.452121e-02 3.835843e-04 2.013262e-06
134 1.302318e+00 -1.443594e-02 3.789719e-04 2.015114e-06
135 1.294650e+00 -1.434577e-02 3.742899e-04 2.017006e-06
136 1.287054e+00 -1.425078e-02 3.695423e-04 2.018936e-06
137 1.279527e+00 -1.415106e-02 3.647330e-04 2.020907e-06
138 1.272064e+00 -1.404670e-02 3.598661e-04 2.022917e-06
139 1.264662e+00 -1.393779e-02 3.549453e-04 2.024968e-06
140 1.257318e+00 -1.382441e-02 3.499747e-04 2.027060e-06
141 1.250028e+00 -1.370666e-02 3.449581e-04 2.029192e-06
142 1.242788e+00 -1.358462e-02 3.398996e-04 2.031365e-06
143 1.235595e+00 -1.345839e-02 3.348031e-04 2.033580e-06
144 1.228445e+00 -1.332805e-02 3.296724e-04 2.035837e-06
